Account,Date,Transaction type,Num,Name,Description,Full name,Account,Amount,Balance
CHASE ENDING IN 5315,12/13/23,Expense,--,QuickBooks Payments,ORIG CO NAME:INTUIT * ORIG ID:XXXXXX6346 DESC DATE:231213 CO ENTRY DESCR:QBooks OnlSEC:CCD TRACE#:XXXXXXXX6535988 EED:231213 IND ID:0519196 IND NAME:DIGNITAS UK RAINE INC XXX-XXX-8848 TRN: XXXXXX5988 TC,CHASE ENDING IN 5315,Software & apps,($85.00),($85.00)
Software & apps,12/13/23,Expense,--,QuickBooks Payments,ORIG CO NAME:INTUIT * ORIG ID:XXXXXX6346 DESC DATE:231213 CO ENTRY DESCR:QBooks OnlSEC:CCD TRACE#:XXXXXXXX6535988 EED:231213 IND ID:0519196 IND NAME:DIGNITAS UK RAINE INC XXX-XXX-8848 TRN: XXXXXX5988 TC,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:Software & apps,CHASE ENDING IN 5315,$85.00 ,$0.00 
PayPal Bank 3,12/9/23,Deposit,1MK83563SC1649405,09 MSU RESTR,Subject: New 10 UnitsTransaction ID: 1MK83563SC1649405https://www.paypal.com/activity/payment/1MK83563SC1649405,PayPal Bank 3,--,$489.56 ,$489.56 
Donations directed by individuals,12/9/23,Deposit,1MK83563SC1649405,09 MSU RESTR,donation-form,Contributed income:Donations directed by individuals,PayPal Bank 3,$500.00 ,$989.56 
PayPal Fees,12/9/23,Deposit,1MK83563SC1649405,09 MSU RESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$10.44 ,"$1,000.00 "
PayPal Bank 3,12/9/23,Deposit,71G45329W57267338,08 VICTORY DRONES RESTR,Subject: VictoryDronesTransaction ID: 71G45329W57267338https://www.paypal.com/activity/payment/71G45329W57267338,PayPal Bank 3,--,$73.84 ,"$1,073.84 "
Donations directed by individuals,12/9/23,Deposit,71G45329W57267338,08 VICTORY DRONES RESTR,VICTORY DRONES - VICTORY DRONES,Contributed income:Donations directed by individuals,PayPal Bank 3,$77.02 ,"$1,150.86 "
PayPal Fees,12/9/23,Deposit,71G45329W57267338,08 VICTORY DRONES RESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$3.18 ,"$1,154.04 "
PayPal Bank 3,12/9/23,Deposit,81S18896FU3091537,04 PAYPAL GENERAL UNRESTR,Subject: GeneralPageNote: Donation from OWL SolutionsTransaction ID: 81S18896FU3091537https://www.paypal.com/activity/payment/81S18896FU3091537,PayPal Bank 3,--,$979.61 ,"$2,133.65 "
Donations directed by individuals,12/9/23,Deposit,81S18896FU3091537,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,"$1,000.00 ","$3,133.65 "
PayPal Fees,12/9/23,Deposit,81S18896FU3091537,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$20.39 ,"$3,154.04 "
PayPal Bank 3,12/9/23,Deposit,7NF817729M795152D,04 PAYPAL GENERAL UNRESTR,Subject: GeneralPageTransaction ID: 7NF817729M795152Dhttps://www.paypal.com/activity/payment/7NF817729M795152D,PayPal Bank 3,--,$200.00 ,"$3,354.04 "
Donations directed by individuals,12/9/23,Deposit,7NF817729M795152D,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$204.56 ,"$3,558.60 "
PayPal Fees,12/9/23,Deposit,7NF817729M795152D,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$4.56 ,"$3,563.16 "
