Date,Category,UAH,Payment method
2023-12-09,Mobile Shower Units,500.0,PayPal
2023-12-09,Victory Drones,77.02,PayPal
2023-12-09,General Donations,1000.0,PayPal
2023-12-09,General Donations,204.56,PayPal
2023-12-09,Mobile Shower Units,10.0,PayPal
2023-12-09,1000 Drones For Ukraine,51.52,PayPal
2023-12-08,Victory Drones,102.53,PayPal
2023-12-08,Victory Drones,204.56,PayPal
2023-12-08,1000 Drones For Ukraine,300.0,PayPal
2023-12-08,General Donations,51.52,PayPal
2023-12-08,General Donations,20.0,PayPal
2023-12-07,General Donations,307.55,Venmo
2023-12-07,1000 Drones For Ukraine,25.0,PayPal
2023-12-07,General Donations,20.91,PayPal
2023-12-07,General Donations,102.53,PayPal
2023-12-07,Victory Drones,102.53,PayPal
2023-12-07,General Donations,72.0,PayPal
2023-12-07,General Donations,26.25,PayPal
2023-12-07,General Donations,51.52,PayPal
2023-12-07,Victory Drones,10.7,PayPal
2023-12-07,General Donations,50.0,PayPal
2023-12-07,1000 Drones For Ukraine,10.0,PayPal
2023-12-06,General Donations,5.0,PayPal
2023-12-06,1000 Drones For Ukraine,200.0,PayPal
2023-12-06,General Donations,51.52,PayPal
2023-12-06,General Donations,20.0,PayPal
2023-12-06,1000 Drones For Ukraine,204.56,PayPal
2023-12-05,Mobile Shower Units,20.0,PayPal
2023-12-05,Mobile Shower Units,100.0,PayPal
2023-12-05,Mobile Shower Units,21.0,PayPal
2023-12-05,General Donations,20.0,PayPal
2023-12-05,General Donations,102.53,PayPal
2023-12-05,1000 Drones For Ukraine,50.0,PayPal
2023-12-04,General Donations,51.99,PayPal
2023-12-04,General Donations,20.91,PayPal
2023-12-04,Victory Drones,103.48,PayPal
2023-12-04,1000 Drones For Ukraine,200.0,PayPal
2023-12-04,Flight To Recovery,103.48,PayPal
2023-12-04,General Donations,1.0,PayPal
2023-12-03,General Donations,31.4,PayPal
2023-12-03,1000 Drones For Ukraine,41.31,PayPal
2023-12-02,General Donations,102.53,PayPal
2023-12-02,General Donations,12.86,PayPal
2023-12-02,General Donations,51.52,PayPal
2023-12-02,General Donations,10.7,PayPal
2023-12-02,1000 Drones For Ukraine,11.83,PayPal
2023-12-02,General Donations,20.91,PayPal
2023-12-02,General Donations,46.41,PayPal
2023-12-02,General Donations,10.0,PayPal
2023-12-02,1000 Drones For Ukraine,35.0,PayPal
2023-12-02,General Donations,41.31,PayPal
2023-12-02,General Donations,35.0,PayPal
2023-12-02,General Donations,70.0,PayPal
2023-12-02,General Donations,15.0,PayPal
2023-12-02,Mobile Shower Units,1000.0,PayPal
2023-12-02,General Donations,20.91,PayPal
2023-12-01,1000 Drones For Ukraine,26.25,PayPal
2023-12-01,General Donations,51.52,PayPal
2023-12-01,General Donations,41.31,PayPal
2023-12-01,Mobile Shower Units,600.0,PayPal
2023-12-01,1000 Drones For Ukraine,51.52,PayPal
2023-12-01,General Donations,51.52,PayPal
2023-11-30,General Donations,17.56,Venmo
2023-11-30,General Donations,55.0,PayPal
2023-11-30,General Donations,200.0,PayPal
2023-11-30,General Donations,6.0,PayPal
2023-11-30,General Donations,153.55,PayPal
2023-11-29,Mobile Shower Units,25.0,PayPal
2023-11-29,Mobile Shower Units,10.0,PayPal
2023-11-29,Flight To Recovery,10.7,PayPal
2023-11-29,Mobile Shower Units,10.0,PayPal
2023-11-29,1000 Drones For Ukraine,10.7,PayPal
2023-11-29,General Donations,103.48,PayPal
2023-11-29,Victory Drones,50.0,PayPal
